"epoch","1_1_w=0.6 - _step","1_1_w=0.6 - _step__MIN","1_1_w=0.6 - _step__MAX","1_1_w=0.6 - auc","1_1_w=0.6 - auc__MIN","1_1_w=0.6 - auc__MAX","1_4_w=0.6 - _step","1_4_w=0.6 - _step__MIN","1_4_w=0.6 - _step__MAX","1_4_w=0.6 - auc","1_4_w=0.6 - auc__MIN","1_4_w=0.6 - auc__MAX","2_4_w=0.6 - _step","2_4_w=0.6 - _step__MIN","2_4_w=0.6 - _step__MAX","2_4_w=0.6 - auc","2_4_w=0.6 - auc__MIN","2_4_w=0.6 - auc__MAX"
"0","0","0","0","0.6959315571193209","0.6959315571193209","0.6959315571193209","0","0","0","0.6859685095801238","0.6859685095801238","0.6859685095801238","0","0","0","0.6840579589674527","0.6840579589674527","0.6840579589674527"
"1","2","2","2","0.7329278565288265","0.7329278565288265","0.7329278565288265","2","2","2","0.7017135596723877","0.7017135596723877","0.7017135596723877","2","2","2","0.6861859441385025","0.6861859441385025","0.6861859441385025"
"2","4","4","4","0.7812796472550855","0.7812796472550855","0.7812796472550855","4","4","4","0.7055124168807826","0.7055124168807826","0.7055124168807826","4","4","4","0.6964695328022019","0.6964695328022019","0.6964695328022019"
"3","6","6","6","0.8408050903038364","0.8408050903038364","0.8408050903038364","6","6","6","0.7490950908584044","0.7490950908584044","0.7490950908584044","6","6","6","0.6983340027457436","0.6983340027457436","0.6983340027457436"
"4","8","8","8","0.896734911113466","0.896734911113466","0.896734911113466","8","8","8","0.760112399346673","0.760112399346673","0.760112399346673","8","8","8","0.7022950696251266","0.7022950696251266","0.7022950696251266"
"5","10","10","10","0.9107039900639368","0.9107039900639368","0.9107039900639368","10","10","10","0.7724274875291663","0.7724274875291663","0.7724274875291663","10","10","10","0.7046014986971303","0.7046014986971303","0.7046014986971303"
"6","12","12","12","0.9139213582253196","0.9139213582253196","0.9139213582253196","12","12","12","0.7830813830081951","0.7830813830081951","0.7830813830081951","12","12","12","0.7090927531933835","0.7090927531933835","0.7090927531933835"
"7","14","14","14","0.9253181919994989","0.9253181919994989","0.9253181919994989","14","14","14","0.7897473147787546","0.7897473147787546","0.7897473147787546","14","14","14","0.7224678375998727","0.7224678375998727","0.7224678375998727"
"8","16","16","16","0.9487708850161884","0.9487708850161884","0.9487708850161884","16","16","16","0.7976718131900165","0.7976718131900165","0.7976718131900165","16","16","16","0.7203729789060209","0.7203729789060209","0.7203729789060209"
"9","18","18","18","0.9134756213738451","0.9134756213738451","0.9134756213738451","18","18","18","0.8149288910754441","0.8149288910754441","0.8149288910754441","18","18","18","0.7510101571357775","0.7510101571357775","0.7510101571357775"
"10","20","20","20","0.9552284447668937","0.9552284447668937","0.9552284447668937","20","20","20","0.8165736190789097","0.8165736190789097","0.8165736190789097","20","20","20","0.7637781536928571","0.7637781536928571","0.7637781536928571"
"11","22","22","22","0.9567363798573011","0.9567363798573011","0.9567363798573011","22","22","22","0.837018251631251","0.837018251631251","0.837018251631251","22","22","22","0.7723285184819969","0.7723285184819969","0.7723285184819969"
"12","24","24","24","0.9530543034492204","0.9530543034492204","0.9530543034492204","24","24","24","0.8740545782562185","0.8740545782562185","0.8740545782562185","24","24","24","0.7832026108186385","0.7832026108186385","0.7832026108186385"
"13","26","26","26","0.9633839080046184","0.9633839080046184","0.9633839080046184","26","26","26","0.8896923801928157","0.8896923801928157","0.8896923801928157","26","26","26","0.7894833622297179","0.7894833622297179","0.7894833622297179"
"14","28","28","28","0.9657224556765603","0.9657224556765603","0.9657224556765603","28","28","28","0.9007545248416298","0.9007545248416298","0.9007545248416298","28","28","28","0.7933167935718899","0.7933167935718899","0.7933167935718899"
"15","30","30","30","0.9524269702578296","0.9524269702578296","0.9524269702578296","30","30","30","0.9034910496897567","0.9034910496897567","0.9034910496897567","30","30","30","0.8082236985280891","0.8082236985280891","0.8082236985280891"
"16","32","32","32","0.9649409950953984","0.9649409950953984","0.9649409950953984","32","32","32","0.926962922382166","0.926962922382166","0.926962922382166","32","32","32","0.8207324158144416","0.8207324158144416","0.8207324158144416"
"17","34","34","34","0.9666915174676757","0.9666915174676757","0.9666915174676757","34","34","34","0.9297111518585578","0.9297111518585578","0.9297111518585578","34","34","34","0.8416206260613435","0.8416206260613435","0.8416206260613435"
"18","36","36","36","0.9733660812788901","0.9733660812788901","0.9733660812788901","36","36","36","0.939428541191611","0.939428541191611","0.939428541191611","36","36","36","0.8433505612005117","0.8433505612005117","0.8433505612005117"
"19","38","38","38","0.9762066744243779","0.9762066744243779","0.9762066744243779","38","38","38","0.9382164980167336","0.9382164980167336","0.9382164980167336","38","38","38","0.8536711941460184","0.8536711941460184","0.8536711941460184"
"20","40","40","40","0.978801895935298","0.978801895935298","0.978801895935298","40","40","40","0.9467453330322129","0.9467453330322129","0.9467453330322129","40","40","40","0.8622425770321298","0.8622425770321298","0.8622425770321298"
"21","42","42","42","0.980078316319122","0.980078316319122","0.980078316319122","42","42","42","0.9460405452460356","0.9460405452460356","0.9460405452460356","42","42","42","0.8750913912724523","0.8750913912724523","0.8750913912724523"
"22","44","44","44","0.9812679959791122","0.9812679959791122","0.9812679959791122","44","44","44","0.95121845650797","0.95121845650797","0.95121845650797","44","44","44","0.8558043184312625","0.8558043184312625","0.8558043184312625"
"23","46","46","46","0.9799918273232476","0.9799918273232476","0.9799918273232476","46","46","46","0.9488495658832139","0.9488495658832139","0.9488495658832139","46","46","46","0.8729214772848501","0.8729214772848501","0.8729214772848501"
"24","48","48","48","0.9828351524690994","0.9828351524690994","0.9828351524690994","48","48","48","0.9541514410140342","0.9541514410140342","0.9541514410140342","48","48","48","0.8897864852635596","0.8897864852635596","0.8897864852635596"
"25","50","50","50","0.9812654271538802","0.9812654271538802","0.9812654271538802","50","50","50","0.9479011574128325","0.9479011574128325","0.9479011574128325","50","50","50","0.8483777915165073","0.8483777915165073","0.8483777915165073"
"26","52","52","52","0.981845766737476","0.981845766737476","0.981845766737476","52","52","52","0.9563955486395418","0.9563955486395418","0.9563955486395418","52","52","52","0.8896894025197448","0.8896894025197448","0.8896894025197448"
"27","54","54","54","0.9823597049926714","0.9823597049926714","0.9823597049926714","54","54","54","0.9575975206541143","0.9575975206541143","0.9575975206541143","54","54","54","0.9004211040561367","0.9004211040561367","0.9004211040561367"
"28","56","56","56","0.9829438649516353","0.9829438649516353","0.9829438649516353","56","56","56","0.9576242168228521","0.9576242168228521","0.9576242168228521","56","56","56","0.9021650849519888","0.9021650849519888","0.9021650849519888"
"29","58","58","58","0.979819534089585","0.979819534089585","0.979819534089585","58","58","58","0.9579025551030359","0.9579025551030359","0.9579025551030359","58","58","58","0.9075429688172225","0.9075429688172225","0.9075429688172225"
"30","60","60","60","0.9847401909868686","0.9847401909868686","0.9847401909868686","60","60","60","0.9607847206121074","0.9607847206121074","0.9607847206121074","60","60","60","0.9115446965927012","0.9115446965927012","0.9115446965927012"
"31","62","62","62","0.983746244105798","0.983746244105798","0.983746244105798","62","62","62","0.9572613730218947","0.9572613730218947","0.9572613730218947","62","62","62","0.9122609742542709","0.9122609742542709","0.9122609742542709"
"32","64","64","64","0.9854087537347891","0.9854087537347891","0.9854087537347891","64","64","64","0.9631619362715479","0.9631619362715479","0.9631619362715479","64","64","64","0.9189764407576747","0.9189764407576747","0.9189764407576747"
"33","66","66","66","0.9847752020605445","0.9847752020605445","0.9847752020605445","66","66","66","0.9652171587686365","0.9652171587686365","0.9652171587686365","66","66","66","0.9015247767224515","0.9015247767224515","0.9015247767224515"
"34","68","68","68","0.9896361705163039","0.9896361705163039","0.9896361705163039","68","68","68","0.951737557997472","0.951737557997472","0.951737557997472","68","68","68","0.9130512620312994","0.9130512620312994","0.9130512620312994"
"35","70","70","70","0.990059583942762","0.990059583942762","0.990059583942762","70","70","70","0.967119340147531","0.967119340147531","0.967119340147531","70","70","70","0.90676874507367","0.90676874507367","0.90676874507367"
"36","72","72","72","0.9893839026952815","0.9893839026952815","0.9893839026952815","72","72","72","0.9679860130375745","0.9679860130375745","0.9679860130375745","72","72","72","0.9181498445944158","0.9181498445944158","0.9181498445944158"
