"epoch","1_1_w=0.6 - _step","1_1_w=0.6 - _step__MIN","1_1_w=0.6 - _step__MAX","1_1_w=0.6 - eff","1_1_w=0.6 - eff__MIN","1_1_w=0.6 - eff__MAX","1_4_w=0.6 - _step","1_4_w=0.6 - _step__MIN","1_4_w=0.6 - _step__MAX","1_4_w=0.6 - eff","1_4_w=0.6 - eff__MIN","1_4_w=0.6 - eff__MAX","2_4_w=0.6 - _step","2_4_w=0.6 - _step__MIN","2_4_w=0.6 - _step__MAX","2_4_w=0.6 - eff","2_4_w=0.6 - eff__MIN","2_4_w=0.6 - eff__MAX"
"0","0","0","0","0.5391576290130615","0.5391576290130615","0.5391576290130615","0","0","0","0.712411642074585","0.712411642074585","0.712411642074585","0","0","0","0.6786163449287415","0.6786163449287415","0.6786163449287415"
"1","2","2","2","0.5184230208396912","0.5184230208396912","0.5184230208396912","2","2","2","0.5967982411384583","0.5967982411384583","0.5967982411384583","2","2","2","0.585689902305603","0.585689902305603","0.585689902305603"
"2","4","4","4","0.7874499559402466","0.7874499559402466","0.7874499559402466","4","4","4","0.5400245189666748","0.5400245189666748","0.5400245189666748","4","4","4","0.5038720369338989","0.5038720369338989","0.5038720369338989"
"3","6","6","6","0.6982907652854919","0.6982907652854919","0.6982907652854919","6","6","6","0.40128272771835327","0.40128272771835327","0.40128272771835327","6","6","6","0.7827417850494385","0.7827417850494385","0.7827417850494385"
"4","8","8","8","0.8147006034851074","0.8147006034851074","0.8147006034851074","8","8","8","0.6012991666793823","0.6012991666793823","0.6012991666793823","8","8","8","0.5661365389823914","0.5661365389823914","0.5661365389823914"
"5","10","10","10","0.8445063233375549","0.8445063233375549","0.8445063233375549","10","10","10","0.7929211854934692","0.7929211854934692","0.7929211854934692","10","10","10","0.6788161993026733","0.6788161993026733","0.6788161993026733"
"6","12","12","12","0.820758581161499","0.820758581161499","0.820758581161499","12","12","12","0.7386777400970459","0.7386777400970459","0.7386777400970459","12","12","12","0.625928521156311","0.625928521156311","0.625928521156311"
"7","14","14","14","0.8620208501815796","0.8620208501815796","0.8620208501815796","14","14","14","0.7673946619033813","0.7673946619033813","0.7673946619033813","14","14","14","0.6462795734405518","0.6462795734405518","0.6462795734405518"
"8","16","16","16","0.8996574282646179","0.8996574282646179","0.8996574282646179","16","16","16","0.7552043199539185","0.7552043199539185","0.7552043199539185","16","16","16","0.8182629942893982","0.8182629942893982","0.8182629942893982"
"9","18","18","18","0.8714175820350647","0.8714175820350647","0.8714175820350647","18","18","18","0.7690635919570923","0.7690635919570923","0.7690635919570923","18","18","18","0.5837509632110596","0.5837509632110596","0.5837509632110596"
"10","20","20","20","0.8834066390991211","0.8834066390991211","0.8834066390991211","20","20","20","0.7570580244064331","0.7570580244064331","0.7570580244064331","20","20","20","0.7073236703872681","0.7073236703872681","0.7073236703872681"
"11","22","22","22","0.911904513835907","0.911904513835907","0.911904513835907","22","22","22","0.7690771818161011","0.7690771818161011","0.7690771818161011","22","22","22","0.711982250213623","0.711982250213623","0.711982250213623"
"12","24","24","24","0.9032472372055054","0.9032472372055054","0.9032472372055054","24","24","24","0.7841848731040955","0.7841848731040955","0.7841848731040955","24","24","24","0.7254238128662109","0.7254238128662109","0.7254238128662109"
"13","26","26","26","0.9029175043106079","0.9029175043106079","0.9029175043106079","26","26","26","0.8192765712738037","0.8192765712738037","0.8192765712738037","26","26","26","0.8205726146697998","0.8205726146697998","0.8205726146697998"
"14","28","28","28","0.9206500053405762","0.9206500053405762","0.9206500053405762","28","28","28","0.8413785696029663","0.8413785696029663","0.8413785696029663","28","28","28","0.7529654502868652","0.7529654502868652","0.7529654502868652"
"15","30","30","30","0.8919038772583008","0.8919038772583008","0.8919038772583008","30","30","30","0.8411643505096436","0.8411643505096436","0.8411643505096436","30","30","30","0.7981823682785034","0.7981823682785034","0.7981823682785034"
"16","32","32","32","0.9244881868362427","0.9244881868362427","0.9244881868362427","32","32","32","0.8458656072616577","0.8458656072616577","0.8458656072616577","32","32","32","0.7466071844100952","0.7466071844100952","0.7466071844100952"
"17","34","34","34","0.9128040075302124","0.9128040075302124","0.9128040075302124","34","34","34","0.8586496114730835","0.8586496114730835","0.8586496114730835","34","34","34","0.7338688969612122","0.7338688969612122","0.7338688969612122"
"18","36","36","36","0.9256981611251831","0.9256981611251831","0.9256981611251831","36","36","36","0.8857929706573486","0.8857929706573486","0.8857929706573486","36","36","36","0.7341040372848511","0.7341040372848511","0.7341040372848511"
"19","38","38","38","0.9301405549049377","0.9301405549049377","0.9301405549049377","38","38","38","0.8875734806060791","0.8875734806060791","0.8875734806060791","38","38","38","0.7985559701919556","0.7985559701919556","0.7985559701919556"
"20","40","40","40","0.9336669445037842","0.9336669445037842","0.9336669445037842","40","40","40","0.891221821308136","0.891221821308136","0.891221821308136","40","40","40","0.8117612600326538","0.8117612600326538","0.8117612600326538"
"21","42","42","42","0.9422165751457214","0.9422165751457214","0.9422165751457214","42","42","42","0.8990470170974731","0.8990470170974731","0.8990470170974731","42","42","42","0.8238730430603027","0.8238730430603027","0.8238730430603027"
"22","44","44","44","0.9407610297203064","0.9407610297203064","0.9407610297203064","44","44","44","0.9016292095184326","0.9016292095184326","0.9016292095184326","44","44","44","0.860327959060669","0.860327959060669","0.860327959060669"
"23","46","46","46","0.9488236308097839","0.9488236308097839","0.9488236308097839","46","46","46","0.8957021832466125","0.8957021832466125","0.8957021832466125","46","46","46","0.8090131282806396","0.8090131282806396","0.8090131282806396"
"24","48","48","48","0.9513511657714844","0.9513511657714844","0.9513511657714844","48","48","48","0.9151874780654907","0.9151874780654907","0.9151874780654907","48","48","48","0.8512164354324341","0.8512164354324341","0.8512164354324341"
"25","50","50","50","0.9422951936721802","0.9422951936721802","0.9422951936721802","50","50","50","0.897952139377594","0.897952139377594","0.897952139377594","50","50","50","0.8524025678634644","0.8524025678634644","0.8524025678634644"
