"epoch","1_1_w=0.6 - _step","1_1_w=0.6 - _step__MIN","1_1_w=0.6 - _step__MAX","1_1_w=0.6 - total_pur","1_1_w=0.6 - total_pur__MIN","1_1_w=0.6 - total_pur__MAX","1_4_w=0.6 - _step","1_4_w=0.6 - _step__MIN","1_4_w=0.6 - _step__MAX","1_4_w=0.6 - total_pur","1_4_w=0.6 - total_pur__MIN","1_4_w=0.6 - total_pur__MAX","2_4_w=0.6 - _step","2_4_w=0.6 - _step__MIN","2_4_w=0.6 - _step__MAX","2_4_w=0.6 - total_pur","2_4_w=0.6 - total_pur__MIN","2_4_w=0.6 - total_pur__MAX"
"0","0","0","0","0.0560116283595562","0.0560116283595562","0.0560116283595562","0","0","0","0.04397968575358391","0.04397968575358391","0.04397968575358391","0","0","0","0.04626055806875229","0.04626055806875229","0.04626055806875229"
"1","2","2","2","0.07477238774299622","0.07477238774299622","0.07477238774299622","2","2","2","0.05248190462589264","0.05248190462589264","0.05248190462589264","2","2","2","0.05099957436323166","0.05099957436323166","0.05099957436323166"
"2","4","4","4","0.058204859495162964","0.058204859495162964","0.058204859495162964","4","4","4","0.05740278586745262","0.05740278586745262","0.05740278586745262","4","4","4","0.05817780643701553","0.05817780643701553","0.05817780643701553"
"3","6","6","6","0.10425394773483276","0.10425394773483276","0.10425394773483276","6","6","6","0.09908883273601532","0.09908883273601532","0.09908883273601532","6","6","6","0.04281646013259888","0.04281646013259888","0.04281646013259888"
"4","8","8","8","0.11842162162065506","0.11842162162065506","0.11842162162065506","8","8","8","0.07217539846897125","0.07217539846897125","0.07217539846897125","8","8","8","0.05508914217352867","0.05508914217352867","0.05508914217352867"
"5","10","10","10","0.12369956821203232","0.12369956821203232","0.12369956821203232","10","10","10","0.0540977343916893","0.0540977343916893","0.0540977343916893","10","10","10","0.048799097537994385","0.048799097537994385","0.048799097537994385"
"6","12","12","12","0.1395971029996872","0.1395971029996872","0.1395971029996872","12","12","12","0.06235427036881447","0.06235427036881447","0.06235427036881447","12","12","12","0.052965063601732254","0.052965063601732254","0.052965063601732254"
"7","14","14","14","0.13804559409618378","0.13804559409618378","0.13804559409618378","14","14","14","0.061065640300512314","0.061065640300512314","0.061065640300512314","14","14","14","0.05542082339525223","0.05542082339525223","0.05542082339525223"
"8","16","16","16","0.1633772999048233","0.1633772999048233","0.1633772999048233","16","16","16","0.06554512679576874","0.06554512679576874","0.06554512679576874","16","16","16","0.041345253586769104","0.041345253586769104","0.041345253586769104"
"9","18","18","18","0.11302352696657181","0.11302352696657181","0.11302352696657181","18","18","18","0.0709528848528862","0.0709528848528862","0.0709528848528862","18","18","18","0.07116767019033432","0.07116767019033432","0.07116767019033432"
