"epoch","1_1_w=0.6 - _step","1_1_w=0.6 - _step__MIN","1_1_w=0.6 - _step__MAX","1_1_w=0.6 - train_loss","1_1_w=0.6 - train_loss__MIN","1_1_w=0.6 - train_loss__MAX","1_4_w=0.6 - _step","1_4_w=0.6 - _step__MIN","1_4_w=0.6 - _step__MAX","1_4_w=0.6 - train_loss","1_4_w=0.6 - train_loss__MIN","1_4_w=0.6 - train_loss__MAX","2_4_w=0.6 - _step","2_4_w=0.6 - _step__MIN","2_4_w=0.6 - _step__MAX","2_4_w=0.6 - train_loss","2_4_w=0.6 - train_loss__MIN","2_4_w=0.6 - train_loss__MAX"
"0","1","1","1","1.2955496311187744","1.2955496311187744","1.2955496311187744","1","1","1","1.3260914087295532","1.3260914087295532","1.3260914087295532","1","1","1","1.3422377109527588","1.3422377109527588","1.3422377109527588"
"1","3","3","3","1.2660019397735596","1.2660019397735596","1.2660019397735596","3","3","3","1.2681454420089722","1.2681454420089722","1.2681454420089722","3","3","3","1.3180605173110962","1.3180605173110962","1.3180605173110962"
"2","5","5","5","1.1672269105911255","1.1672269105911255","1.1672269105911255","5","5","5","1.263285517692566","1.263285517692566","1.263285517692566","5","5","5","1.28285813331604","1.28285813331604","1.28285813331604"
"3","7","7","7","1.0746114253997803","1.0746114253997803","1.0746114253997803","7","7","7","1.231390118598938","1.231390118598938","1.231390118598938","7","7","7","1.2703702449798584","1.2703702449798584","1.2703702449798584"
"4","9","9","9","0.932414710521698","0.932414710521698","0.932414710521698","9","9","9","1.2308409214019775","1.2308409214019775","1.2308409214019775","9","9","9","1.259920597076416","1.259920597076416","1.259920597076416"
"5","11","11","11","0.771359920501709","0.771359920501709","0.771359920501709","11","11","11","1.169442057609558","1.169442057609558","1.169442057609558","11","11","11","1.252516508102417","1.252516508102417","1.252516508102417"
"6","13","13","13","0.6876977682113647","0.6876977682113647","0.6876977682113647","13","13","13","1.1434062719345093","1.1434062719345093","1.1434062719345093","13","13","13","1.2535426616668701","1.2535426616668701","1.2535426616668701"
"7","15","15","15","0.6578066945075989","0.6578066945075989","0.6578066945075989","15","15","15","1.1237707138061523","1.1237707138061523","1.1237707138061523","15","15","15","1.2437958717346191","1.2437958717346191","1.2437958717346191"
"8","17","17","17","0.6205618977546692","0.6205618977546692","0.6205618977546692","17","17","17","1.1105396747589111","1.1105396747589111","1.1105396747589111","17","17","17","1.2224476337432861","1.2224476337432861","1.2224476337432861"
"9","19","19","19","0.5878034830093384","0.5878034830093384","0.5878034830093384","19","19","19","1.1005151271820068","1.1005151271820068","1.1005151271820068","19","19","19","1.2336604595184326","1.2336604595184326","1.2336604595184326"
"10","21","21","21","0.5905016660690308","0.5905016660690308","0.5905016660690308","21","21","21","1.0434812307357788","1.0434812307357788","1.0434812307357788","21","21","21","1.1769293546676636","1.1769293546676636","1.1769293546676636"
"11","23","23","23","0.5229982137680054","0.5229982137680054","0.5229982137680054","23","23","23","1.0175973176956177","1.0175973176956177","1.0175973176956177","23","23","23","1.1607301235198975","1.1607301235198975","1.1607301235198975"
"12","25","25","25","0.5734614133834839","0.5734614133834839","0.5734614133834839","25","25","25","0.9394121170043945","0.9394121170043945","0.9394121170043945","25","25","25","1.140685796737671","1.140685796737671","1.140685796737671"
"13","27","27","27","0.5126818418502808","0.5126818418502808","0.5126818418502808","27","27","27","0.8882473707199097","0.8882473707199097","0.8882473707199097","27","27","27","1.1245019435882568","1.1245019435882568","1.1245019435882568"
"14","29","29","29","0.48436588048934937","0.48436588048934937","0.48436588048934937","29","29","29","0.8150894045829773","0.8150894045829773","0.8150894045829773","29","29","29","1.121852159500122","1.121852159500122","1.121852159500122"
"15","31","31","31","0.489959716796875","0.489959716796875","0.489959716796875","31","31","31","0.8528301119804382","0.8528301119804382","0.8528301119804382","31","31","31","1.0936424732208252","1.0936424732208252","1.0936424732208252"
"16","33","33","33","0.4791647493839264","0.4791647493839264","0.4791647493839264","33","33","33","0.73438960313797","0.73438960313797","0.73438960313797","33","33","33","1.0620754957199097","1.0620754957199097","1.0620754957199097"
"17","35","35","35","0.4385526776313782","0.4385526776313782","0.4385526776313782","35","35","35","0.7116897106170654","0.7116897106170654","0.7116897106170654","35","35","35","1.0205457210540771","1.0205457210540771","1.0205457210540771"
"18","37","37","37","0.43119707703590393","0.43119707703590393","0.43119707703590393","37","37","37","0.66563880443573","0.66563880443573","0.66563880443573","37","37","37","0.9978152513504028","0.9978152513504028","0.9978152513504028"
"19","39","39","39","0.4102274477481842","0.4102274477481842","0.4102274477481842","39","39","39","0.6364748477935791","0.6364748477935791","0.6364748477935791","39","39","39","0.9964193105697632","0.9964193105697632","0.9964193105697632"
"20","41","41","41","0.39125633239746094","0.39125633239746094","0.39125633239746094","41","41","41","0.6103625297546387","0.6103625297546387","0.6103625297546387","41","41","41","0.9498552083969116","0.9498552083969116","0.9498552083969116"
"21","43","43","43","0.37061768770217896","0.37061768770217896","0.37061768770217896","43","43","43","0.6056035757064819","0.6056035757064819","0.6056035757064819","43","43","43","0.9150530695915222","0.9150530695915222","0.9150530695915222"
"22","45","45","45","0.36810535192489624","0.36810535192489624","0.36810535192489624","45","45","45","0.5805582404136658","0.5805582404136658","0.5805582404136658","45","45","45","0.9340241551399231","0.9340241551399231","0.9340241551399231"
"23","47","47","47","0.36497509479522705","0.36497509479522705","0.36497509479522705","47","47","47","0.5756994485855103","0.5756994485855103","0.5756994485855103","47","47","47","0.9314031600952148","0.9314031600952148","0.9314031600952148"
"24","49","49","49","0.35146087408065796","0.35146087408065796","0.35146087408065796","49","49","49","0.5651558041572571","0.5651558041572571","0.5651558041572571","49","49","49","0.8674637079238892","0.8674637079238892","0.8674637079238892"
"25","51","51","51","0.34884175658226013","0.34884175658226013","0.34884175658226013","51","51","51","0.5680608749389648","0.5680608749389648","0.5680608749389648","51","51","51","0.8253949880599976","0.8253949880599976","0.8253949880599976"
"26","53","53","53","0.3318968713283539","0.3318968713283539","0.3318968713283539","53","53","53","0.5579485893249512","0.5579485893249512","0.5579485893249512","53","53","53","0.8906221389770508","0.8906221389770508","0.8906221389770508"
"27","55","55","55","0.31714385747909546","0.31714385747909546","0.31714385747909546","55","55","55","0.5392351746559143","0.5392351746559143","0.5392351746559143","55","55","55","0.8181968927383423","0.8181968927383423","0.8181968927383423"
"28","57","57","57","0.31815364956855774","0.31815364956855774","0.31815364956855774","57","57","57","0.5275194048881531","0.5275194048881531","0.5275194048881531","57","57","57","0.7987772226333618","0.7987772226333618","0.7987772226333618"
"29","59","59","59","0.30788886547088623","0.30788886547088623","0.30788886547088623","59","59","59","0.550365686416626","0.550365686416626","0.550365686416626","59","59","59","0.7807402610778809","0.7807402610778809","0.7807402610778809"
